거래일자,종가,시가,고가,저가,거래량,거래대금,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
20080102,43880,46167,46276,43826,923546,41114678700,00,0.00,N,5,-2014,
20080103,42737,42737,43336,42301,754003,32291938450,00,0.00,N,5,-1143,
20080104,43445,42955,44261,42519,566558,24533920300,00,0.00,N,2,707,
20080107,42465,41975,42955,41975,298236,12664530400,00,0.00,N,5,-979,
20080108,44098,42247,44642,42247,414330,18153361150,00,0.00,N,2,1633,
20080109,43445,43554,43880,42465,705495,30600038100,00,0.00,N,5,-653,
20080110,43118,43989,44207,43064,523929,22771927600,00,0.00,N,5,-326,
20080111,41376,43554,43989,40831,796586,33525855600,00,0.00,N,5,-1742,
20080114,41049,41049,41703,40831,414484,17083876000,00,0.00,N,5,-326,
20080115,40723,40341,42410,40287,468519,19257367100,00,0.00,N,5,-326,
20080116,40505,40124,41594,39960,505050,20676230950,00,0.00,N,5,-217,
20080117,44370,41376,44588,41213,864395,37072366200,00,0.00,N,2,3865,
20080118,45024,43826,45350,43281,824578,36961498750,00,0.00,N,2,653,
20080121,45187,45024,46439,44207,633676,28777049150,00,0.00,N,2,163,
20080122,45405,43554,45405,43118,733515,32364395100,00,0.00,N,2,217,
20080123,46330,46766,48562,46330,1075839,50730782500,00,0.00,N,2,925,
20080124,48127,46820,48345,46167,1060770,50334307100,00,0.00,N,2,1796,
20080125,49324,48453,49379,48236,790615,38729434500,00,0.00,N,2,1197,
20080128,48780,48671,48998,47909,635996,30830500800,00,0.00,N,5,-544,
20080129,51067,49542,51284,49542,710036,35810283800,00,0.00,N,2,2286,
20080130,50087,51067,51883,47800,865173,42983346700,00,0.00,N,5,-979,
20080131,49706,50032,50631,48453,630936,31253550000,00,0.00,N,5,-381,
20080201,50631,50196,50631,49161,458980,22927030700,00,0.00,N,2,925,
20080204,51557,50849,52156,49978,860591,43922774800,00,0.00,N,2,925,
20080205,52264,51284,52645,51176,590107,30847781450,00,0.00,N,2,707,
20080211,52156,50522,52482,49869,496731,25510588450,00,0.00,N,5,-108,
20080212,52210,52264,52428,51067,382615,19811645650,00,0.00,N,2,54,
20080213,50740,52264,52591,49814,439009,22443641900,00,0.00,N,5,-1469,
20080214,51176,51393,51938,50903,481333,24736797100,00,0.00,N,2,435,
20080215,50468,50304,50740,49760,413162,20728182150,00,0.00,N,5,-707,
20080218,50794,50250,50849,49324,365828,18339389400,00,0.00,N,2,326,
20080219,51393,51720,52047,50849,435107,22340872900,00,0.00,N,2,598,
20080220,51992,50849,53898,50522,935891,49325292950,00,0.00,N,2,598,
20080221,52482,52809,53408,51720,508686,26702020250,00,0.00,N,2,489,
20080222,53571,51774,53625,51774,384781,20368681000,00,0.00,N,2,1088,
20080225,54878,53789,54987,53462,645488,35085511400,00,0.00,N,2,1306,
20080226,53353,55313,55422,52809,630090,33831154300,00,0.00,N,5,-1524,
20080227,53898,53353,54224,52373,363575,19346106750,00,0.00,N,2,544,
20080228,54170,54388,54660,53680,273215,14796124800,00,0.00,N,2,272,
20080229,53299,53789,53789,52264,334257,17717203750,00,0.00,N,5,-871,
20080303,51176,51502,51829,50413,369423,18820593000,00,0.00,N,5,-2123,
20080304,50304,51284,51393,49814,435544,21893882100,00,0.00,N,5,-871,
20080305,51666,50686,51992,50686,482509,24841647900,00,0.00,N,2,1361,
20080306,53734,51992,54007,50903,533369,28288851600,00,0.00,N,2,2068,
20080307,54878,52645,55313,52264,1015952,55256273700,00,0.00,N,2,1143,
20080310,55204,54115,55966,53952,778638,43055866700,00,0.00,N,2,326,
20080311,57818,55640,58580,55095,1121766,64031391800,00,0.00,N,2,2613,
20080312,59233,59342,59886,57491,1139449,67178410400,00,0.00,N,2,1415,
20080313,57600,58798,59233,55966,863036,49354980100,00,0.00,N,5,-1633,
20080314,57818,58144,59669,56620,1114837,65363579400,00,0.00,N,2,217,
20080317,59451,57818,60104,56184,1227081,72257376000,00,0.00,N,2,1633,
20080318,59124,59560,59995,57382,834425,48822789900,00,0.00,N,5,-326,
20080319,59451,59886,59995,57926,773828,45598085500,00,0.00,N,2,326,
20080320,59124,58253,59886,57818,497312,29234741700,00,0.00,N,5,-326,
20080321,60540,59342,60975,58689,1034846,62178881200,00,0.00,N,2,1415,
20080324,59124,60866,60866,59015,590563,35228729600,00,0.00,N,5,-1415,
20080325,57491,59451,59451,56838,1087633,62543336700,00,0.00,N,5,-1633,
20080326,56946,57164,58362,56729,677712,38879588100,00,0.00,N,5,-544,
20080327,58362,57273,58689,56946,665930,38517784100,00,0.00,N,2,1415,
20080328,59995,58253,60540,58035,1106981,66279847000,00,0.00,N,2,1633,
20080331,58798,60431,60431,58362,631849,37239549100,00,0.00,N,5,-1197,
20080401,58253,58906,59233,57709,720573,42232438700,00,0.00,N,5,-544,
20080402,57926,59451,59451,57273,851848,49789616100,00,0.00,N,5,-326,
20080403,58144,58362,59886,57818,1016970,59919566800,00,0.00,N,2,217,
20080404,57382,58580,58580,56838,726694,41724874400,00,0.00,N,5,-762,
20080407,57164,56729,57491,56511,698025,39730855500,00,0.00,N,5,-217,
20080408,56075,56946,57273,56075,551197,31120550000,00,0.00,N,5,-1088,
20080410,58362,55531,58362,55531,652799,37503542500,00,0.00,N,2,2286,
20080411,58253,58798,58906,57818,532007,31046818300,00,0.00,N,5,-108,
20080414,56075,57382,57491,56075,568767,32169624200,00,0.00,N,5,-2177,
20080415,54987,56075,56511,54279,851696,46842591500,00,0.00,N,5,-1088,
20080416,56838,55313,57164,55313,465605,26335763000,00,0.00,N,2,1851,
20080417,56402,57709,57926,56402,535634,30756722900,00,0.00,N,5,-435,
20080418,58798,57164,59015,57164,727384,42499859100,00,0.00,N,2,2395,
20080421,59451,59451,59886,58798,720889,42866646900,00,0.00,N,2,653,
20080422,58362,59342,60213,58035,641913,37930555200,00,0.00,N,5,-1088,
20080423,58906,58362,60213,58144,541480,32240921300,00,0.00,N,2,544,
20080424,60975,58906,61520,58906,901494,54558301600,00,0.00,N,2,2068,
20080425,64133,61411,64133,61411,1517050,96152461600,00,0.00,N,2,3157,
20080428,64242,64242,64895,62935,578599,37094292200,00,0.00,N,2,108,
20080429,64568,64460,64677,62935,462384,29563320100,00,0.00,N,2,326,
20080430,64568,64786,65222,63806,377001,24295081600,00,0.00,N,3,0,
20080502,65331,65113,65548,63697,591819,38455611900,00,0.00,N,2,762,
20080506,66637,65222,67182,64568,566191,37423751000,00,0.00,N,2,1306,
20080507,65984,66637,67182,64460,548625,36025132700,00,0.00,N,5,-653,
20080508,65875,64242,66419,64242,555619,36246703900,00,0.00,N,5,-108,
20080509,64242,65875,65984,63915,427941,27585984000,00,0.00,N,5,-1633,
20080513,64786,64242,65113,63262,415883,26787659500,00,0.00,N,2,544,
20080514,64460,64242,65548,64242,278596,18062190200,00,0.00,N,5,-326,
20080515,69686,65331,70230,65222,1381357,94178078800,00,0.00,N,2,5226,
20080516,69686,70122,70122,68271,512324,35448427800,00,0.00,N,3,0,
20080519,69904,69250,70122,67399,541259,37178481300,00,0.00,N,2,217,
20080520,65657,69468,69577,65222,1391051,92471073700,00,0.00,N,5,-4246,
20080521,66964,64133,68271,63915,1171504,78053545700,00,0.00,N,2,1306,
20080522,65875,67291,68271,61520,2284899,148705872000,00,0.00,N,5,-1088,
